received_at,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,accel_mag,gyro_mag
2026-06-07T19:52:10.248209,39069,-2.56419,-6.967127,-6.315904,-0.05276,0.008793,0.004263,9.747131492,0.053657317
2026-06-07T19:52:10.302610,39123,-2.391808,-6.888118,-6.275203,-0.015721,0.050628,0.022649,9.620035747,0.057648256
2026-06-07T19:52:10.356326,39177,-2.597709,-6.98628,-6.105214,-0.019185,0.026646,0.040502,9.634824247,0.052139098
2026-06-07T19:52:10.409850,39230,-2.549825,-6.811504,-6.133945,-0.009859,0.050361,0.010392,9.514382562,0.052358608
2026-06-07T19:52:10.469401,39284,-2.662352,-6.861782,-6.428432,-0.059421,0.050361,0.018386,9.77225196,0.08003206
2026-06-07T19:52:10.517852,39338,-2.470816,-6.861782,-6.397307,-0.006662,0.091663,-0.008527,9.701263875,0.092299499
2026-06-07T19:52:10.576178,39392,-2.389413,-6.852205,-6.23929,-0.007194,0.047164,0.006662,9.57030551,0.048172386
2026-06-07T19:52:10.626126,39447,-2.53546,-6.916849,-6.289568,-0.024248,0.06475,0.01732,9.686589861,0.071277699
2026-06-07T19:52:10.679770,39500,-2.454057,-6.876147,-6.301539,-0.018652,0.06102,0.007461,9.644334456,0.064241762
2026-06-07T19:52:10.734212,39554,-2.331953,-6.840234,-6.337452,-0.035706,0.05649,0.03011,9.611977103,0.073298367
2026-06-07T19:52:10.788279,39608,-2.442086,-6.916849,-6.26802,-0.01279,0.047697,0.02185,9.648557345,0.054000096
2026-06-07T19:52:10.842036,39662,-2.454057,-6.940791,-6.327875,-0.010658,0.059421,0.007461,9.707676214,0.060828568
2026-06-07T19:52:10.897149,39717,-2.449268,-6.854599,-6.265626,-0.00906,0.057289,-0.001066,9.604296453,0.05801077
2026-06-07T19:52:10.950577,39770,-2.418144,-6.854599,-6.411672,-0.029577,0.094328,0.022649,9.692393187,0.101417689
2026-06-07T19:52:11.004254,39825,-2.466028,-6.902483,-6.375759,-0.003997,0.076475,0.016521,9.714724314,0.078341209
2026-06-07T19:52:11.058256,39878,-2.3535,-6.897695,-6.210559,-0.001599,0.053026,0.002132,9.57539564,0.053092927
2026-06-07T19:52:11.114298,39932,-2.408567,-6.897695,-6.370971,-0.047164,0.060487,0.019452,9.693743487,0.079129643
2026-06-07T19:52:11.166097,39987,-2.413355,-6.888118,-6.38773,-0.015988,0.045299,-0.013856,9.699151844,0.049996043
2026-06-07T19:52:11.219862,40041,-2.427721,-6.842628,-6.38773,-0.019452,0.03011,-0.021583,9.670495424,0.041842781
2026-06-07T19:52:11.274206,40094,-2.322376,-6.897695,-6.325481,-0.017587,-0.001865,-0.025047,9.642786759,0.030661588
2026-06-07T19:52:11.328289,40149,-2.365471,-6.924031,-6.361394,-0.030643,0.051694,-0.017054,9.695617152,0.062466807
2026-06-07T19:52:11.382039,40203,-2.315193,-6.799533,-6.485892,-0.04823,0.045032,-0.009593,9.67783874,0.066678629
2026-06-07T19:52:11.435882,40256,-2.456451,-6.878541,-6.524199,-0.03464,0.047963,-0.037571,9.79355147,0.070085369
2026-06-07T19:52:11.490144,40310,-2.185906,-6.91206,-6.189012,0.037571,-0.019185,-0.061286,9.531979229,0.074401734
2026-06-07T19:52:11.544538,40364,-2.209848,-6.914454,-6.200983,-0.043167,-0.021317,-0.018386,9.547004371,0.051534934
2026-06-07T19:52:11.598382,40419,-2.281674,-6.931214,-6.282385,-0.031443,0.026113,-0.016254,9.628921281,0.04398572
2026-06-07T19:52:11.653391,40473,-2.217031,-6.840234,-6.308722,-0.031975,0.006928,-0.009326,9.565772363,0.034020172
2026-06-07T19:52:11.709932,40526,-2.300828,-6.856994,-6.435614,-0.071145,0.011724,0.011724,9.681389557,0.073051457
2026-06-07T19:52:11.773843,40580,-2.339135,-6.88333,-6.490681,-0.024248,0.001066,-0.007727,9.745805471,0.025471717
2026-06-07T19:52:11.814205,40635,-2.317587,-6.847417,-6.390124,0.006395,-0.018652,0.001332,9.648420275,0.019762777
2026-06-07T19:52:11.868627,40688,-2.245761,-6.845023,-6.378153,-0.001865,0.025847,0.006129,9.62177832,0.026629125
2026-06-07T19:52:11.933148,40743,-2.161964,-6.847417,-6.40449,-0.007727,-0.002132,0.034107,9.621782583,0.035036258
2026-06-07T19:52:11.977937,40796,-2.442086,-6.916849,-6.368577,0.006928,0.047963,0.032242,9.714183297,0.05820647
2026-06-07T19:52:12.035627,40850,-2.461239,-6.976704,-6.217742,0.001865,0.019985,0.00906,9.663974943,0.022021854
2026-06-07T19:52:12.083917,40904,-2.298434,-6.926425,-6.256049,-0.019452,0.015455,0.015455,9.612299997,0.02925909
2026-06-07T19:52:12.138185,40959,-2.422932,-6.871359,-6.375759,-0.037838,0.041835,0.01732,9.681760006,0.05900732
2026-06-07T19:52:12.198604,41012,-2.305616,-6.873753,-6.323087,-0.010392,0.029044,0.003198,9.620071447,0.031012494
2026-06-07T19:52:12.246039,41067,-2.41575,-6.926425,-6.31351,-0.031975,0.062885,0.01732,9.678409986,0.072642317
2026-06-07T19:52:12.299850,41121,-2.27928,-6.864176,-6.406884,-0.028511,0.053559,0.017054,9.662307802,0.063026046
2026-06-07T19:52:12.354655,41175,-2.406173,-6.868965,-6.447585,-0.012257,0.050628,0.021051,9.723358525,0.056183388
2026-06-07T19:52:12.408095,41228,-2.379837,-6.902483,-6.337452,-0.002665,0.045032,0.008527,9.668050143,0.045909617
2026-06-07T19:52:12.462781,41282,-2.391808,-6.943185,-6.299145,-0.007194,0.019985,-0.011724,9.675111947,0.024261204
2026-06-07T19:52:12.516233,41337,-2.23379,-6.859388,-6.361394,-0.018919,0.018386,-0.007461,9.618126383,0.027416055
2026-06-07T19:52:12.570822,41391,-2.219425,-6.876147,-6.406884,-0.014655,0.02638,0.01279,9.656883943,0.032775868
2026-06-07T19:52:12.624592,41445,-2.245761,-6.864176,-6.28478,-0.002665,0.029577,0.024515,9.573860991,0.038508264
2026-06-07T19:52:12.678394,41499,-2.334347,-6.88333,-6.392519,-0.031709,0.059155,0.03544,9.679550969,0.075899725
2026-06-07T19:52:12.733127,41553,-2.358289,-6.936002,-6.378153,-0.005063,0.036772,0.011458,9.713417856,0.038847133
2026-06-07T19:52:12.787655,41607,-2.257732,-6.888118,-6.318298,-0.015721,0.021317,0.005596,9.615841772,0.027071748
2026-06-07T19:52:12.841351,41660,-2.372654,-6.885724,-6.296751,-0.034907,0.025847,0.015988,9.627655746,0.046283714
2026-06-07T19:52:12.896542,41715,-2.30801,-6.868965,-6.337452,-0.054358,0.027712,0.028778,9.626675864,0.06746051
2026-06-07T19:52:12.949286,41769,-2.566584,-6.888118,-6.483498,-0.058888,-0.035972,0.043433,9.801493219,0.081536537
2026-06-07T19:52:13.001925,41822,-2.238579,-6.880936,-6.306327,0.061819,0.069547,-0.045565,9.598347587,0.103607641
