device_id,timestamp,received_at,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp
ESP32_01,2026-05-25T14:11:47.166527,133850,-4.527435,-4.371812,-3.588908,1.042401,-1.706426,-3.217801,31.94765
ESP32_01,2026-05-25T14:11:47.246473,133923,1.991976,-9.854534,-1.781286,-2.095994,-2.874597,-3.498652,31.94176
ESP32_01,2026-05-25T14:11:47.332961,134008,32.43425,1.434127,-27.66261,0.951538,4.161611,8.731176,31.94176
ESP32_01,2026-05-25T14:11:47.416863,134092,-38.55862,11.22402,-3.981557,1.863106,-2.78773,2.727243,31.92412
ESP32_01,2026-05-25T14:11:47.498331,134182,-1.058237,-8.152257,-5.001487,0.164141,-0.669354,-1.127136,31.92118
ESP32_01,2026-05-25T14:11:47.599996,134266,-6.631939,-5.121197,-6.189012,0.064217,-0.590747,-0.591014,31.92118
ESP32_01,2026-05-25T14:11:47.691666,134370,-9.035717,-4.644751,-4.141969,0.310429,-2.612931,-2.701397,31.91824
ESP32_01,2026-05-25T14:11:47.777457,134454,-1.077391,-6.811504,-1.307234,-1.350432,-2.414949,-4.334545,31.93
ESP32_01,2026-05-25T14:11:47.874450,134542,27.92118,0.426168,-21.19108,-5.117412,-1.573195,1.081305,31.91529
ESP32_01,2026-05-25T14:11:47.952285,134637,-27.47586,11.65258,-9.840169,3.187957,5.409189,7.615764,31.92412
ESP32_01,2026-05-25T14:11:48.030941,134711,-6.677429,-8.607155,1.290475,0.749026,-1.014689,-1.90574,31.93
ESP32_01,2026-05-25T14:11:48.104366,134788,-3.842694,-6.26802,-4.786009,-0.028245,0.224095,-0.184392,31.92412
ESP32_01,2026-05-25T14:11:48.178843,134861,-10.25915,-4.623203,-6.572083,-0.235553,-0.257669,-0.855078,31.91824
ESP32_01,2026-05-25T14:11:48.276979,134944,-6.605602,-4.941632,-4.01747,0.485495,-1.636613,-2.629985,31.93588
ESP32_01,2026-05-25T14:11:48.362462,135042,2.303222,-7.311892,-2.317587,-1.03494,-1.57053,-2.910569,31.92412
ESP32_01,2026-05-25T14:11:48.450272,135127,30.53804,2.832341,-29.71444,-2.486628,1.30007,5.617029,31.90941
ESP32_01,2026-05-25T14:11:48.537866,135210,-41.28561,17.64766,-8.00621,3.259103,-0.14309,8.052763,31.91529
ESP32_01,2026-05-25T14:11:48.609684,135293,-1.21386,-8.882488,0.751779,0.534524,-0.426873,-1.773574,31.90941
ESP32_01,2026-05-25T14:11:48.689907,135366,-8.434772,-4.881777,-4.218584,-0.397562,-0.144156,-0.09113,31.92118
ESP32_01,2026-05-25T14:11:48.795077,135449,-10.90798,-4.79798,-3.143587,-0.955801,-0.852413,-2.467976,31.89177
ESP32_01,2026-05-25T14:11:48.901790,135556,-1.101333,-5.573701,-4.209007,-1.740799,-1.509776,-3.81441,31.90941
ESP32_01,2026-05-25T14:11:48.990269,135661,21.39459,-0.737414,-21.2653,-2.637712,0.163075,0.895847,31.90353
ESP32_01,2026-05-25T14:11:49.077460,135747,-9.169792,6.215348,3.478775,2.856744,4.971657,7.284285,31.92706
ESP32_01,2026-05-25T14:11:49.157809,135840,0.600945,-6.88333,-3.655946,0.027979,-1.088499,-2.648104,31.90353
ESP32_01,2026-05-25T14:11:49.229557,135914,-3.481169,-4.805163,-6.303933,-0.298704,-0.033574,-0.477234,31.92412
ESP32_01,2026-05-25T14:11:49.303493,135987,-9.622296,-3.706224,-6.991069,-0.269394,0.246478,-0.753289,31.91824
ESP32_01,2026-05-25T14:11:49.399732,136060,-7.697359,-3.430891,-6.141128,-0.151884,-1.050395,-2.356594,31.90941
ESP32_01,2026-05-25T14:11:49.478499,136159,2.351106,-5.480328,-6.409278,-1.5223,-1.329381,-3.686508,31.90353
ESP32_01,2026-05-25T14:11:49.569493,136243,26.93237,4.486734,-30.52847,-0.334144,0.831096,5.048665,31.90059
ESP32_01,2026-05-25T14:11:49.649645,136332,-35.0966,13.88398,-9.715671,0.465243,1.743997,5.619161,31.91235
ESP32_01,2026-05-25T14:11:49.732808,136415,0.972046,-9.32781,-1.716643,0.226493,0.061819,-1.44849,31.91824
ESP32_01,2026-05-25T14:11:49.805739,136489,-1.857901,-6.308722,-6.98628,0.130567,0.435933,0.361323,31.89765
ESP32_01,2026-05-25T14:11:49.880747,136564,-10.57279,-3.864242,-8.075643,0.605403,-0.826034,0.098858,31.89765
ESP32_01,2026-05-25T14:11:50.484052,136636,-10.09635,-4.532224,-2.552219,1.945709,-2.35766,-1.429571,31.90941
ESP32_01,2026-05-25T14:11:50.569264,137240,-6.339846,-3.234566,-1.338359,-1.758119,-0.814576,-3.522367,31.90059
ESP32_01,2026-05-25T14:11:50.642914,137326,32.01048,-0.565032,-20.24776,-6.071081,-0.06475,-4.747295,31.88
ESP32_01,2026-05-25T14:11:50.715353,137400,-8.793902,11.35809,-10.60631,5.093431,2.207642,8.731176,31.89765
ESP32_01,2026-05-25T14:11:50.794207,137474,-32.57551,3.311181,-0.033519,1.916931,-5.937317,-2.677415,31.89471
ESP32_01,2026-05-25T14:11:50.866620,137551,4.307169,-9.315839,-3.031059,-0.329081,-3.182894,-1.396796,31.87118
ESP32_01,2026-05-25T14:11:50.940412,137624,-5.046977,-7.199365,-1.067814,-0.103387,-4.349467,-0.383972,31.89471
ESP32_01,2026-05-25T14:11:51.016801,137698,-9.457097,-6.634333,-1.534683,-0.113513,-2.516738,-0.309896,31.86823
ESP32_01,2026-05-25T14:11:51.122183,137781,-5.094861,-6.878541,-0.94571,-0.32615,-0.976052,-0.011724,31.87118
ESP32_01,2026-05-25T14:11:51.214003,137881,-6.454768,-7.433996,-0.452504,-0.422876,-0.107118,0.202245,31.87706
ESP32_01,2026-05-25T14:11:51.313542,137973,-7.072472,-7.249643,0.356736,-0.136429,0.171069,-0.028511,31.88588
ESP32_01,2026-05-25T14:11:55.815564,138080,-7.438785,-7.13951,-0.806846,-0.086067,0.135896,-0.036772,31.87118
ESP32_01,2026-05-25T14:11:55.898850,142577,-5.774815,-7.668628,-1.357512,-0.005596,0.028245,0.004263,31.87412
ESP32_01,2026-05-25T14:11:55.984643,142661,-5.83467,-7.661446,-1.355118,-0.005862,0.026913,-0.002665,31.86235
ESP32_01,2026-05-25T14:11:56.070293,142746,-5.801151,-7.606379,-1.335965,-0.013323,0.018652,0.002931,31.86235
ESP32_01,2026-05-25T14:11:56.152834,142832,-5.717354,-7.613562,-1.357512,-0.046098,0.057289,0.02185,31.87706
ESP32_01,2026-05-25T14:11:56.278040,142917,-5.827487,-7.661446,-1.419762,-0.021583,0.025047,0.019185,31.87412
ESP32_01,2026-05-25T14:11:56.368724,143043,-5.849035,-7.642292,-1.460463,-0.037305,0.047164,0.016521,31.87412
ESP32_01,2026-05-25T14:11:59.027535,143126,-5.762844,-7.699753,-1.398214,-0.008793,0.03917,0.01359,31.88
ESP32_01,2026-05-25T14:11:59.102280,145785,-5.858612,-7.623138,-1.237802,-0.053292,-0.070613,0.05276,31.85941
ESP32_01,2026-05-25T14:11:59.187371,145859,-5.906496,-7.649475,-1.194707,-0.038637,-0.019185,0.031975,31.86529
